[10.02.06 14:35:44] '---': 'grandsupremo' 127.0.0.1
[10.02.10 16:34:27] '---': 'supremo' 127.0.0.1
[10.02.10 18:34:31] '---': 'supremo' 127.0.0.1
[10.02.10 18:39:58] '---': 'grandsupremo' 127.0.0.1
[10.02.16 14:13:20] '---': 'nandiinha' 127.0.0.1
[10.02.27 18:53:42] '---': 'denisson7' 127.0.0.1
[10.02.28 16:46:30] '---': 'denisson7' 127.0.0.1
[10.02.28 16:46:37] '---': 'denisson7' 127.0.0.1
[10.03.01 13:00:23] '---': 'elaine' 5.165.157.114
[10.03.01 13:00:35] '---': 'elaine' 5.165.157.114
[10.03.01 13:00:39] '---': 'elaine' 5.165.157.114
[10.03.07 0:03:32] '---': 'denisson7' 127.0.0.1
[10.03.07 0:10:51] '---': 'denisson7' 127.0.0.1
[10.03.08 14:11:24] '---': 'denisson7' 127.0.0.1
[16.10.07 4:46:03] '---': 'samuel' 127.0.0.1
[16.10.07 4:46:10] '---': 'samuel' 127.0.0.1
[16.10.20 12:38:44] '---': 'windows10' 127.0.0.1
[16.10.20 12:38:49] '---': 'windows10' 127.0.0.1
[16.10.20 12:38:51] '---': 'windows10' 127.0.0.1
[16.12.07 10:33:42] '---': 'windows10' 127.0.0.1
[16.12.15 22:46:18] '---': 'jere5' 25.0.216.138
[16.12.17 21:06:26] '---': 'windows10' 127.0.0.1
[16.12.18 13:35:40] '---': 'windows12' 127.0.0.1
[17.02.27 15:34:12] '---': 'buf' 127.0.0.1
[17.02.27 15:34:16] '---': 'buf' 127.0.0.1
